FID,name,operator_t,isced_leve,Lat,log,Remarks
123,Manasalu Public Higher Secondary School,private,higher_secondary,27.72093001,85.30738726, 
176,Metro Higher Secondary School,private,higher_secondary,27.69092948,85.3339061, 
80,Mid-Valley International College,private,college,27.70674001,85.33074699, 
21,Milestone International College,private,college,27.67221649,85.33982951, 
380,Milestone International English Boarding School,private,higher_secondary,27.72257235,85.24884135, 
244,Modern Higher Secondary School,private,higher_secondary,27.67259642,85.38277758, 
440,Modern School,private,higher_secondary,27.65928526,85.39569113, 
356,Morgan Academy,private,college,27.67050325,85.31915722, 
49,Morgan College,private,college,27.73907246,85.3277245, 
181,Mount Everest Higher Secondary School,private,higher_secondary,27.66489019,85.42586269, 
237,Mount Glory English Boarding High School,private,higher_secondary,27.7060157,85.29877792, 
235,Mt. Gaurishankar Higher Secondary School,private,higher_secondary,27.6712278,85.34351875, 
398,Nabin Jyoti English Boarding School,private,higher_secondary,27.72673992,85.24117972, 
445,Nagarjun Thula Gaun Higher Secondary School,government,higher_secondary,27.76880187,85.27200958, 
70,Nagarjun Valley Academy,private,higher_secondary,27.72799047,85.29133105, 
54,Nagarjuna College of Information Technology,private,college,27.68157969,85.31701194, 
86,Namuna College of Fashion Technology,private,college,27.74424041,85.34136635, 
390,National Academy for Medical Science,private,college,27.70109853,85.34219252, 
321,National Campus,private,higher_secondary,27.66879864,85.33972919, 
16,National College,private,college,27.7231958,85.33086, 
392,National College NIST Higher Education Complex,private,college,27.71790893,85.30500252, 
223,National College of Information Technology(NCIT),private,college,27.67144082,85.33912057, 
273,National Institute of Science (NIS Patan),private,higher_secondary,27.6836867,85.31214509, 
75,National Integrated College,private,college,27.70675254,85.32564266, 
274,National Law College,private,college,27.68098645,85.31646195, 
272,National Multiple Campus (NMC),private,college,27.68380219,85.3122985, 
315,National Open College,private,college,27.68274832,85.30185131, 
218,National School of Science (NIST),private,higher_secondary,27.71825252,85.31397148, 
308,Nava Jyoti College,private,college,27.68219019,85.34832327, 
132,Navajeewan Educational Academy,private,higher_secondary,27.7359767,85.31801186, 
193,Navodit College,private,college,27.72936549,85.31528682, 
400,Nawa Prabhat Higher Secondary School,private,higher_secondary,27.67504561,85.31579352, 
351,NEC (BHD program),private,college,27.66548847,85.32020551, 
104,Nepa School of Social Sciences and Humanities,private,college,27.71498074,85.34304113, 
286,Nepal Central Higher Secondary School,private,higher_secondary,27.67201805,85.35044396, 
316,Nepal College of Management,community,college,27.67432717,85.30129208, 
387,Nepal College of Travel and Tourism Management,private,college,27.707756,85.33954831, 
28,Nepal Commerce Campus,government,college,27.68545644,85.33740121, 
473,Nepal Engineering College (PU),private,college,27.68005033,85.29685738, 
323,Nepal Institute of Medical Science and Technology,private,college,27.70510713,85.34741652, 
248,Nepal Law Campus,government,college,27.70267057,85.31952056, 
475,Nepal Medical College and Teaching Hospital,private,college,27.734521,85.37955395, 
452,Nepal Rastriya Higher Secondary School,government,higher_secondary,27.74196062,85.30342135, 
194,New Himalayan Bidya Mandir Higher Secondary School,private,higher_secondary,27.72389874,85.31474011, 
90,New Leera School,private,higher_secondary,27.72108874,85.32886878, 
254,New Millennium College,private,college,27.72876267,85.34520142, 
460,New Summit College,private,college,27.69904055,85.3395481, 
138,Newton International College,private,college,27.7134939,85.34267954, 
208,Nichholson Higher Secondary School,private,higher_secondary,27.67329581,85.40501159, 
275,Nightingale College,private,college,27.6895628,85.3123268, 
302,Nightingale Nursing College,private,higher_secondary,27.69087923,85.31121671, 
466,Nil barahi Higher Secondary School,community,higher_secondary,27.7004181,85.30163251, 
269,Niten Memorial School,private,higher_secondary,27.7556972,85.32630848, 
180,Nobel academy,private,higher_secondary,27.68995227,85.33192729, 
463,Nobel College,private,college,27.69791541,85.34728801, 
19,Norvic Institute of Nursing Education,private,college,27.74019415,85.34006305, 
168,Nova International College,private,college,27.68689675,85.33770199, 
55,NTP Tourisum Affaire,private,college,27.68202364,85.31646571, 
173,Oliver Public School,private,higher_secondary,27.73785439,85.34492328, 
2,Olympia World College / Milton International College,private,college,27.6872676,85.32738981, 
145,Olympia World Higher Secondary School,private,higher_secondary,27.68847014,85.32766509, 
355,Omega International College,private,college,27.66968687,85.31919892, 
283,Opal College of Applied Management,private,college,27.71351141,85.34233217, 
341,Orchid College,private,college,27.69744212,85.34969984, 
87,Orient College (A level),private,college,27.74340718,85.33955708, 
284,Oscar International College,private,college,27.71078444,85.34383548, 
352,Oxbridge College,private,college,27.66481875,85.32000848, 
126,Oxford Higher Secondary School,private,college,27.7223917,85.30266017, 
470,Padma Higher Secondary School,government,higher_secondary,27.67298897,85.42750847, 
296,Padma Kanya Campus,government,college,27.70645897,85.32100116, 
310,Padma Kanya Higher Secondary School,government,higher_secondary,27.70500058,85.32615204, 
103,Paradise International Academy,private,higher_secondary,27.71319851,85.33921603, 
117,Paropakar Higher Secondary School,government,higher_secondary,27.7018642,85.3032182, 
142,Pasang Lhamu Sherpa Memorial College,community,college,27.73331612,85.31851544, 
282,Pashupati Multiple College,community,college,27.71340751,85.3446534, 
278,Pawan pakriti higher secondary school,private,higher_secondary,27.65978243,85.35427081, 
427,Pharphing Higher Secondary School,government,higher_secondary,27.60996959,85.26188804, 
177,Phoenix College of Management,private,college,27.69197987,85.32947252, 
366,Pinnacle Academy School,private,higher_secondary,27.6665066,85.32474165, 
312,Platinum Management College,private,college,27.70327918,85.32620293, 
45,Prabhat English Higher Secondary School,private,higher_secondary,27.67626843,85.43047639, 
360,Prabhat Higher Secondary School,government,higher_secondary,27.66735722,85.33084462, 
46,Prabhat School,private,higher_secondary,27.67574224,85.43064865, 
153,Pragati Higher Secondary Boarding School,private,higher_secondary,27.73149624,85.30378755, 
276,Pragati Sikshya Sadan Secondary School,community,higher_secondary,27.68773982,85.31545666, 
219,Pragya Higher Secondary Boarding School,private,higher_secondary,27.71901727,85.31204798, 
446,Pragya Secondary School,private,college,27.67531755,85.34625417, 
361,Prasadi Academy,private,college,27.67128454,85.31719083, 
202,Precious National Academy Higher Secondary School,private,higher_secondary,27.72392172,85.30849006, 
169,Premier College,private,college,27.68731655,85.33699759, 
198,Premier College (BBS Block),private,college,27.69221211,85.33679783, 
175,Presidential Business Academy,private,college,27.686619,85.32795323, 
121,Prime College,private,college,27.72082384,85.30287376, 
375,Princeton International Higher Secondary School,private,higher_secondary,27.68880827,85.34398956, 
442,Prithvi Narayan Higher Secondary School,government,higher_secondary,27.75931868,85.28965911, 
79,Prolific Higher Secondary School,private,college,27.72960324,85.34450488, 
33,Pulchowk Engineering Campus,government,college,27.68224628,85.32151973, 
95,Pushpalal Memorial College,government,college,27.71808441,85.34535613, 
317,Pushpalal Memorial Higher Secondary School,private,higher_secondary,27.73228143,85.35903709, 
58,Pyramid International College,private,college,27.70457851,85.34674799, 
331,Quest International College,private,college,27.66822492,85.33262284, 
231,Rainbow International Boarding Higher Secondary school,private,higher_secondary,27.70844284,85.29788708, 
413,Rastriya Higher Secondary School,government,higher_secondary,27.73561547,85.44539262, 
249,Ratna Rajya Campus,government,college,27.70261714,85.31981864, 
191,Ratna Rajya Higher Secondary School,government,higher_secondary,27.69580257,85.3373358, 
411,Rato Bangala School,private,higher_secondary,27.67782733,85.3196936, 
188,Redhon College,private,college,27.72794952,85.3135852, 
41,Reliance International Academy (RIA),private,college,27.72268753,85.34875331, 
243,Reliance Residential Higher Secondary School,private,higher_secondary,27.69707266,85.34352736, 
290,Republica College,private,college,27.6706475,85.31849237, 
12,Rhododendron International Higher Secondary Boarding School,private,higher_secondary,27.68958919,85.2389029, 
328,Rising Star College of Management,private,college,27.69887937,85.28534289, 
228,RITZ Hospitality Management College,private,college,27.67221226,85.34004684, 
146,Rose Bud School,private,higher_secondary,27.68743417,85.32520217, 
437,Rupy's International College,private,higher_secondary,27.70416315,85.28606863, 
307,Sagarmatha Engineering College,private,college,27.68827879,85.30277716, 
401,Sagarmatha Higher Secondary School,private,higher_secondary,27.67454193,85.31638953, 
402,Sagarmatha Higher Secondary School(+2),private,higher_secondary,27.67489748,85.31610549, 
81,Sagarmatha Multiple College,private,college,27.70362901,85.32932027, 
359,Sahayogi Higher Secondary School,government,higher_secondary,27.73985649,85.38710268, 
279,Samata Academy,private,higher_secondary,27.7226757,85.36823502, 
429,Sangla Bal Kumari Higher Secondary School,government,higher_secondary,27.79001093,85.31896609, 
97,SANN Institute of Nursing,private,college,27.71287919,85.34118119, 
15,SANN International College,private,college,27.72032271,85.32796954, 
370,Santowna Memorial Multiple College,private,college,27.68915148,85.34505889, 
166,Saraswati Boarding School,private,higher_secondary,27.71242067,85.3084055, 
270,Saraswoti Higher Secondary school,government,higher_secondary,27.69094059,85.49050157, 
32,Saraswoti Multiple Campus,government,college,27.71863312,85.31101472, 
148,Sauriya Education Foundation,private,higher_secondary,27.69130811,85.35090478, 
371,Saurya International Higher Secondary School,private,higher_secondary,27.69314049,85.34615482, 
110,Schemes Public Higher Secondary School,private,higher_secondary,27.73813706,85.33459716, 
65,SchEMS,private,college,27.69420063,85.33739378, 
376,School of Geomatics,private,college,27.69767757,85.34266865, 
245,Seabird International School,private,higher_secondary,27.67314715,85.38796494, 
125,Shahid Ramnath Dahal Memorial Academy,private,college,27.72441098,85.29766731, 
458,Shankarapur Academy,private,college,27.71987679,85.38112404, 
47,Shanker Dev Campus,government,college,27.70367177,85.32196542, 
246,Shankhadhar Memorial School,private,higher_secondary,27.66913997,85.38618534, 
56,Shanti Nikunj School,government,higher_secondary,27.70460062,85.30393312, 
51,Sharada Campus,private,college,27.67971006,85.44456445, 
182,Sharda Higher Secondary School,government,higher_secondary,27.67346234,85.42898854, 
259,Shraddha College of Health Science,private,college,27.6748676,85.39195031, 
394,Shramik Shanti Higher Secondary School,government,higher_secondary,27.67434695,85.32910456, 
409,Shree Bahagyodaya Higher Secondary School,government,higher_secondary,27.72733844,85.46207198, 
337,Shree Bajrabarahi Secondary School,government,higher_secondary,27.60457976,85.32705896, 
385,Shree Bal Kumari School,government,higher_secondary,27.63031453,85.32053447, 
430,Shree Bhim HS School,government,higher_secondary,27.70454052,85.21151654, 
257,Shree Bode Higher Secondary School,government,higher_secondary,27.69156784,85.38695631, 
419,Shree Buddha Higher Secondary School,government,higher_secondary,27.6175158,85.35109613, 
454,Shree Chuni Devi Higher Secondary School,government,higher_secondary,27.60204295,85.31274203, 
453,Shree Devi Higher Secondary School,government,higher_secondary,27.56962264,85.28353893, 
227,Shree Gambhir Samundra Setu Higher Secondary School,government,higher_secondary,27.67073968,85.34352635, 
72,Shree Gandhi Tulsi School,government,higher_secondary,27.69655805,85.36986125, 
318,Shree Gram Sikshya Higher Secondary School,government,higher_secondary,27.74087326,85.36398672, 
456,Shree Harisiddhi Higher Secondary School,government,higher_secondary,27.63753408,85.34191784, 
212,Shree Janakalyan Higher Secondary School,government,higher_secondary,27.7257633,85.35803613, 
443,Shree Kalika Sharan Higher Secondary School,government,higher_secondary,27.75021608,85.49698008, 
447,Shree Krishna Higher Secondary School,government,higher_secondary,27.70100752,85.46945631, 
253,Shree Maan Singh Dharna Secondary School,government,higher_secondary,27.74553136,85.31145475, 
263,Shree Mahalaxmi Higher Secondary School,government,higher_secondary,27.64215649,85.37377118, 
17,Shree Mahankal Janajagarit H.S. School,government,higher_secondary,27.74865836,85.34895548, 
101,Shree Manohar Higher Secondary School,government,higher_secondary,27.73762962,85.31927642, 
120,Shree Navayug Secondary School,government,higher_secondary,27.69970099,85.30516827, 
412,Shree Nepal Rastriya Nirman Higher Secondary School,government,higher_secondary,27.71546245,85.40099185, 
420,Shree Phulchowki Higher Secondary School,government,higher_secondary,27.6245717,85.34772828, 
267,Shree Saraswati Higher Secondary School,government,higher_secondary,27.76632266,85.33129895, 
118,Shree Saraswati Niketan Secondary School,government,higher_secondary,27.69889683,85.30405604, 
436,Shree Saraswoti Higher Secondary School,government,higher_secondary,27.61423797,85.32254438, 
322,Shree Shanti Vidhyashram Higher Secondary School,government,higher_secondary,27.67235012,85.32825885, 
220,Shree Shanti Vidya Griha Higher Secondary School,community,higher_secondary,27.71795029,85.31354002, 
324,Shree Sharada Higher Secondary School,government,higher_secondary,27.70169559,85.35008012, 
441,Shree Siddhiganesh Higher Secondary School,government,higher_secondary,27.7548139,85.44679015, 
422,Shree Siddhimangal Higher Secondary School,government,higher_secondary,27.64914956,85.35378157, 
397,Shree Sitalaila Higher Secondary School,government,higher_secondary,27.7095318,85.28082106, 
37,Shree Tangal Higher Secondary School,government,higher_secondary,27.71618889,85.33187488, 
320,Shree Taudaha Rastriya Higher Secondary School,government,higher_secondary,27.65103793,85.28376908, 
266,Shree Tika Vidyashram Higher Secondary School,government,higher_secondary,27.68534998,85.30944508, 
377,Siddhartha Vanasthali Institute,community,college,27.7257821,85.2979506, 
203,Siddhi Ganesh Higher Secondary School,community,higher_secondary,27.71839564,85.31025587, 
124,Sigma College,private,college,27.71939546,85.30784367, 
221,Silver Mountain School of Hotel Management,private,college,27.71945934,85.31441809, 
433,Sisneri Higher Secondary School,government,higher_secondary,27.62769741,85.39602437, 
67,Sitala Higher Secondary School,government,higher_secondary,27.73692649,85.2948016, 
378,Sitaram Higher Secondary School,government,higher_secondary,27.71839825,85.25693599, 
66,Societal Higher Secondary School,private,college,27.69290491,85.33600582, 
94,Softwarica College,private,college,27.70627531,85.3306598, 
7,SOS Herman Gmeienr School,community,higher_secondary,27.68401257,85.37138786, 
350,South Asian Institute of Management,private,college,27.66663125,85.32006151, 
50,Southwestern College,private,college,27.73939168,85.32843094, 
150,St. Lawrence College,private,college,27.71543122,85.34687762, 
0,St. Mary's School,community,higher_secondary,27.67542921,85.31130814, 
1,St. Xavier's College,private,college,27.69329376,85.3211362, 
303,Star Academy Lalitpur,private,higher_secondary,27.6838952,85.30415861, 
225,Sunshine Higher Secondary School,private,higher_secondary,27.67286326,85.39052931, 
196,Sunway International Business School,private,college,27.6962599,85.33770015, 
233,Supreme Academy,private,higher_secondary,27.68175918,85.39248817, 
207,Surya Deep Higher Secondary School,private,higher_secondary,27.66869125,85.41268964, 
448,Sushma Koirala Nursing Campus,community,college,27.7255601,85.45434485, 
459,Swati Sadan Higher Secondary School,private,higher_secondary,27.73646562,85.30442746, 
141,Sweta Sadan Higher Secondary School,private,higher_secondary,27.73572721,85.31728537, 
155,Swopna Vatika Academic College,private,college,27.68400278,85.32903909, 
156,Swopna Vatika Academic Higher Secondary School,private,higher_secondary,27.68370677,85.32930744, 
128,Swoyambhu College/Prime CA,private,college,27.68699146,85.33573488, 
93,Takshashila Academy,private,college,27.73544002,85.32206065, 
418,Tej Binayak School,government,higher_secondary,27.70639109,85.37905101, 
285,Texas International College,private,college,27.71252702,85.34461651, 
388,Thames International College,private,college,27.70161015,85.34226574, 
83,Thapathali Engineering Campus,government,college,27.69465053,85.31885849, 
197,The Aryan School,private,college,27.69606059,85.33829818, 
255,The Insight Vision Higher Secondary School,private,higher_secondary,27.72688626,85.34199495, 
230,The Sunshine Secondary Boarding School,private,higher_secondary,27.71192301,85.29634677, 
130,Tilingatar Higher Secondary School,government,higher_secondary,27.74614842,85.33075073, 
76,Times International College,private,college,27.70836346,85.32664835, 
292,Tri Chandra Campus,government,college,27.70842886,85.3164275, 
425,Tribhuvan Adarsha Secondary School,community,higher_secondary,27.61390379,85.26415308, 
319,Trijyoti Higher Secondary School,private,higher_secondary,27.73446581,85.36249863, 
311,Trinity International College and Higher Secondary School,private,college,27.70359859,85.32510548, 
304,Tri-Padma Higher Secondary School,government,higher_secondary,27.67563758,85.31681244, 
309,Triton International College,private,college,27.68258047,85.34387868, 
102,Triyog Higher Secondary School,private,higher_secondary,27.74721267,85.32586524, 
159,Tungram International Academy  Higher Secondary School and College,private,higher_secondary,27.75377079,85.34788906, 
340,Unigloge College,private,college,27.68976746,85.34008798, 
362,Unique College of Management,private,college,27.67086683,85.31899305, 
357,United Academy,private,college,27.6693631,85.3184074, 
256,Universal Higher Secondary School,private,higher_secondary,27.72278761,85.34033002, 
298,Universal Science College,private,college,27.67983193,85.32645123, 
170,Valley College of Technical Sciences,private,college,27.73091239,85.33176829, 
174,Valley Public Higher Secondary School,private,higher_secondary,27.74985383,85.35262166, 
35,Vibes College,private,college,27.67334145,85.37668062, 
43,Vidyarthi Niketan,government,higher_secondary,27.67222754,85.42964169, 
391,Vinayak College of Health Science,private,college,27.7039376,85.34367618, 
135,Vishwa Niketan Higher Secondary School,government,higher_secondary,27.69290904,85.31189154, 
30,Welhams College,private,college,27.67254539,85.31564207, 
165,Whitefield English Boarding School,private,higher_secondary,27.71045745,85.30608927, 
265,Whitefield International College,private,college,27.71554995,85.30301817, 
59,Wigan & Leigh College,private,college,27.7081465,85.33915498, 
84,Xavier International College,private,college,27.71397275,85.337049, 
8,Yeti Health Science Academy,private,college,27.73555975,85.32814959, 
